id,title,year,release_month,genres,duration,country,language,directors,writers,actors,production_company,imdb_score,votes,budget,world_wide_boxoffice,metascore,profit,profit_margin
830558,The Girl Next Door,2007,10,"['Crime', 'Drama', 'Horror']",91,Usa,English,['Gregory Wilson'],"['Daniel Farrands', 'Philip Nutman']","['William Atherton', 'Blythe Auffarth', 'Blanche Baker', 'Kevin Chamberlin', 'Dean Faulkenberry']",Modernciné,6.6,22906,,,29,,
831387,Godzilla,2014,5,"['Action', 'Adventure', 'Sci-Fi']",123,Usa,English,['Gareth Edwards'],"['Ishirô Honda', 'Takeo Murata']","['Aaron Taylor-Johnson', 'Cj Adams', 'Ken Watanabe', 'Bryan Cranston', 'Elizabeth Olsen']",Warner Bros.,6.4,369814,160000000,524976069,62,364976069,2.28
831884,Reservation Road,2007,5,"['Crime', 'Drama', 'Thriller']",102,Usa,English,['Terry George'],"['John Burnham Schwartz', 'Terry George']","['Joaquin Phoenix', 'Elle Fanning', 'Jennifer Connelly', 'Sean Curley', 'Samuel Ryan Finn']",Focus Features,6.7,22216,11000000,1783226,46,-9216774,-0.84
831887,The Spirit,2008,12,"['Action', 'Crime', 'Fantasy']",103,Usa,English,['Frank Miller'],"['Frank Miller', 'Will Eisner']","['Jaime King', 'Gabriel Macht', 'Dan Gerrity', 'Arthur The Cat', 'Kimberly Cox']",Lionsgate,4.8,59015,60000000,39164441,30,-20835559,-0.35
831888,Tekkon kinkurîto,2006,12,"['Animation', 'Action', 'Adventure']",111,Japan,Japanese,['Michael Arias'],"['Anthony Weintraub', 'Taiyô Matsumoto']","['Kazunari Ninomiya', 'Yû Aoi', 'Yûsuke Iseya', 'Kankurô Kudô', 'Min Tanaka']",Aniplex,7.6,12356,4200000,42840,65,-4157160,-0.99
832266,"Definitely, Maybe",2008,5,"['Comedy', 'Drama', 'Romance']",112,Uk,English,['Adam Brooks'],['Adam Brooks'],"['Ryan Reynolds', 'An Nguyen', 'Matthew Mason', 'Rick Derby', 'Sakina Jaffrey']",Universal Pictures,7.1,152790,,55990299,59,,
832318,What Goes Up,2009,5,"['Comedy', 'Drama']",115,Usa,English,['Jonathan Glatzer'],"['Jonathan Glatzer', 'Robert C. Lawson']","['Steve Coogan', 'Hilary Duff', 'Olivia Thirlby', 'Josh Peck', 'Molly Shannon']",Nasser Entertainment Group,5.4,1799,,,22,,
832347,Fallen,2006,9,['Drama'],88,Germany,German,['Barbara Albert'],['Barbara Albert'],"['Nina Proll', 'Birgit Minichmayr', 'Kathrin Resetarits', 'Ursula Strauss', 'Gabriela Hegedüs']",Coop99 Filmproduktion,5.9,281,,25484,56,,
833553,Ta Ra Rum Pum,2007,4,"['Family', 'Romance', 'Sport']",153,Usa,Hindi,['Siddharth Anand'],"['Habib Faisal', 'Habib Faisal']","['Saif Ali Khan', 'Rani Mukerji', 'Javed Jaffrey', 'Ali Haji', 'Angelina Idnani']",Yash Raj Films,5.6,4150,6000000,15242548,49,9242548,1.54
833960,Gardens of the Night,2008,2,['Drama'],110,Uk,English,['Damian Harris'],['Damian Harris'],"['Gillian Jacobs', 'John Malkovich', 'Ryan Simpkins', 'Tom Arnold', 'Kevin Zegers']",Station 3,6.9,4146,2300000,11436,43,-2288564,-1.0
834001,Underworld: Rise of the Lycans,2009,2,"['Action', 'Fantasy', 'Thriller']",92,Usa,English,['Patrick Tatopoulos'],"['Danny Mcbride', 'Dirk Blackman']","['Michael Sheen', 'Bill Nighy', 'Rhona Mitra', 'Steven Mackintosh', 'Kevin Grevioux']",Screen Gems,6.6,148885,35000000,92158961,44,57158961,1.63
834102,Senki,2007,,"['Drama', 'Horror', 'Mystery']",129,Republic Of North Macedonia,Macedonian,['Milcho Manchevski'],['Milcho Manchevski'],"['Borce Nacev', 'Vesna Stanojevska', 'Sabina Ajrula', 'Salaetin Bilal', 'Ratka Radmanovic']",Blue Eyes Fiction,6.9,1945,,104292,49,,
834541,Sherman's Way,2008,3,['Comedy'],97,Usa,English,['Craig M. Saavedra'],['Tom Nance'],"['James Le Gros', 'Enrico Colantoni', 'Michael Shulman', 'Lacey Chabert', 'Donna Murphy']",Starry Night Entertainment,5.4,515,250000,13282,43,-236718,-0.95
